trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.96, 'e': 0.024360276117225157}",20,10,15.16914058241774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.96, 'e': 0.02338586507253615}",30,13,-17.78980668896803,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.96, 'e': 0.022450430469634703}",30,8,39.10630293664082,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.96, 'e': 0.021552413250849316}",20,2,23.00378691757768,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.96, 'e': 0.02069031672081534}",20,12,17.049992849992215,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.96, 'e': 0.019862704051982726}",30,3,2.5167671570001477,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.96, 'e': 0.019068195889903418}",30,18,22.014703870717046,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.96, 'e': 0.01830546805430728}",20,5,27.784025611703836,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.96, 'e': 0.01757324933213499}",20,6,25.42405319525463,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.96, 'e': 0.016870319358849587}",30,13,23.61049013668233,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.96, 'e': 0.016195506584495603}",30,12,33.63569236467788,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.96, 'e': 0.01554768632111578}",25,15,22.16304300278779,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.96, 'e': 0.014925778868271147}",25,10,26.71590805790024,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.96, 'e': 0.0143287477135403}",30,16,30.898147033489188,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.96, 'e': 0.013755597804998689}",30,18,21.5591815726395,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.96, 'e': 0.01320537389279874}",25,14,22.672236899326755,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.96, 'e': 0.01267715893708679}",25,10,20.71234853655903,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.96, 'e': 0.012170072579603317}",20,12,12.194066272288895,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.96, 'e': 0.011683269676419184}",35,17,35.421719407663396,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.96, 'e': 0.011215938889362417}",35,13,24.333079157549932,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.96, 'e': 0.010767301333787921}",30,18,19.723689535556915,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.96, 'e': 0.010336609280436403}",25,18,13.971537795880398,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.96, 'e': 0.009923144909218947}",20,14,11.021321782818593,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.96, 'e': 0.009526219112850188}",20,8,23.602639743761628,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.96, 'e': 0.00914517034833618}",20,16,6.766906546958383,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.96, 'e': 0.008779363534402732}",25,17,16.22582266443455,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.96, 'e': 0.008428188993026622}",25,12,29.699261132461213,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.96, 'e': 0.008091061433305558}",25,11,25.779361398289378,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.96, 'e': 0.007767418975973335}",20,12,14.640798541150946,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
